id_viaje,hora_dia,dia_semana,linea,estacion_origen,estacion_destino,distancia_km,tiempo_viaje_min,ocupacion_porc,temperatura_c,lluvia,evento_especial,retraso_min,clasificacion_retraso
1,7,1,1,1,5,4.2,18,85,22,0,0,2,Alto
2,8,1,2,3,8,6.1,25,92,22,0,0,8,Alto
3,9,1,1,2,6,3.8,14,75,23,0,0,1,Bajo
4,12,1,3,7,12,8.5,30,55,24,0,0,0,Ninguno
5,13,1,2,5,9,5.0,20,60,24,0,0,0,Ninguno
6,17,1,1,4,8,5.5,22,95,23,0,0,12,Alto
7,18,1,3,9,14,9.2,35,97,22,0,0,15,Alto
8,19,1,2,6,10,7.0,28,88,21,0,0,6,Medio
9,6,2,1,1,4,3.5,13,70,21,1,0,3,Medio
10,7,2,2,2,7,5.8,23,80,20,1,0,7,Medio
11,8,2,1,3,6,4.0,16,78,20,1,0,5,Medio
12,12,2,3,8,13,7.9,28,50,19,1,0,0,Ninguno
13,14,2,2,4,9,6.2,24,58,19,1,0,1,Bajo
14,17,2,1,5,9,6.0,24,93,18,1,0,14,Alto
15,18,2,3,10,15,10.1,38,96,18,1,0,18,Alto
16,19,2,2,7,11,7.5,30,82,19,0,0,5,Medio
17,7,3,1,1,5,4.2,18,84,25,0,0,2,Bajo
18,8,3,2,3,8,6.1,25,90,25,0,0,7,Medio
19,9,3,1,2,6,3.8,14,72,26,0,0,1,Bajo
20,12,3,3,7,12,8.5,30,52,27,0,0,0,Ninguno
21,13,3,2,5,9,5.0,20,58,27,0,0,0,Ninguno
22,17,3,1,4,8,5.5,22,94,26,0,0,11,Alto
23,18,3,3,9,14,9.2,35,96,25,0,0,14,Alto
24,19,3,2,6,10,7.0,28,86,24,0,0,6,Medio
25,6,4,1,1,4,3.5,13,68,20,0,1,10,Alto
26,7,4,2,2,7,5.8,23,82,19,0,1,12,Alto
27,8,4,1,3,6,4.0,16,80,19,0,1,9,Alto
28,12,4,3,8,13,7.9,28,53,20,0,1,2,Bajo
29,14,4,2,4,9,6.2,24,62,20,0,1,3,Medio
30,17,4,1,5,9,6.0,24,95,19,0,1,20,Alto
31,18,4,3,10,15,10.1,38,98,18,0,1,22,Alto
32,19,4,2,7,11,7.5,30,85,19,0,1,8,Alto
33,7,5,1,1,5,4.2,18,83,22,0,0,2,Bajo
